language,top1,top5,mrr,N,shifts_df
Narak,0.5,0.5,0.5002941342226125,6,"  source_concept        target_concept    predicted_top1  correct_top1
0            boy                 child             child          True
1          heart                  lung  arterial (blood)         False
2           lung  location of emotions          to cough         False
3          liver  location of emotions          pancreas         False
4     grandchild           grandparent       grandparent          True
5     grandchild           grandparent       grandparent          True"
Kanuri,0.4444444444444444,0.5555555555555556,0.4726783018850323,9,"            source_concept  ... correct_top1
0                expensive  ...        False
1                     worm  ...         True
2                      sun  ...        False
3                     wind  ...        False
4               man (male)  ...        False
5                 tin (n.)  ...         True
6  child (son or daughter)  ...         True
7      to hear / to listen  ...        False
8          to hug, embrace  ...         True

[9 rows x 4 columns]"
Cofán,0.4444444444444444,0.4444444444444444,0.4573014929276644,9,"            source_concept  ... correct_top1
0               mute, dumb  ...        False
1                     food  ...        False
2                      lip  ...        False
3                   stupid  ...         True
4                  stomach  ...         True
5  child (son or daughter)  ...         True
6      to hear / to listen  ...        False
7         glass (material)  ...         True
8                  abdomen  ...        False

[9 rows x 4 columns]"
Wichí,0.42857142857142855,0.42857142857142855,0.4467314221262981,7,"       source_concept  ... correct_top1
0              insect  ...        False
1           fireplace  ...         True
2               broom  ...         True
3          to squeeze  ...         True
4                iron  ...        False
5                moon  ...        False
6  shell (of mollusc)  ...        False

[7 rows x 4 columns]"
Oroqen,0.4,0.6,0.4501674221734849,5,"     source_concept target_concept       predicted_top1  correct_top1
0         expensive      difficult              to cost         False
1              worm         insect               insect          True
2  glass (material)         bottle               mirror         False
3        to squeeze        to milk              to milk          True
4         book (n.)  letter (text)  chapter (of a book)         False"
Iraqw,0.4,0.6,0.5355555555555556,5,"            source_concept  ... correct_top1
0       nail (metal spike)  ...        False
1                   eyelid  ...        False
2                  eyebrow  ...         True
3                 to plant  ...        False
4  child (son or daughter)  ...         True

[5 rows x 4 columns]"
Gurindji,0.4,0.5,0.4302765043000029,10,"            source_concept  ... correct_top1
0                   orphan  ...        False
1                   stupid  ...         True
2         glass (material)  ...        False
3  child (son or daughter)  ...         True
4                    paper  ...         True
5                     moon  ...        False
6                      yam  ...        False
7                   Sunday  ...         True
8                      yam  ...        False
9                    tooth  ...        False

[10 rows x 4 columns]"
Andi,0.4,0.4,0.45011494252873563,5,"     source_concept   target_concept    predicted_top1  correct_top1
0        mute, dumb           insane  talkative person         False
1             bread             food              food          True
2            eyelid          eyelash           eyebrow         False
3  glass (material)           mirror            mirror          True
4           to read  to learn, study          to write         False"
Mlabri,0.4,0.4,0.40365529859962085,5,"  source_concept target_concept       predicted_top1  correct_top1
0     mute, dumb         insane     talkative person         False
1            dew      mist, fog                 rain         False
2         stupid         insane               insane          True
3        healthy          happy                happy          True
4  little, small          child  unimportant, slight         False"
Kyaka,0.4,0.4,0.4303171889838556,5,"  source_concept    target_concept         predicted_top1  correct_top1
0           tree              fire           &lt;tree&gt;         False
1            sun               day              suntanned         False
2            boy             child                  child          True
3           meat  pig (Sus scrofa)  to slaughter (cattle)         False
4     grandchild       grandparent            grandparent          True"
Masai,0.4,0.4,0.41637950664136625,5,"             source_concept target_concept predicted_top1  correct_top1
0                to respect        to obey        to obey          True
1                       sun            day      suntanned         False
2                       sun            day      suntanned         False
3       to hear / to listen        to obey      to listen         False
4  to trust / to believe in        to obey        to obey          True"
Hakka Chinese,0.4,0.4,0.4002376738442991,5,"  source_concept      target_concept predicted_top1  correct_top1
0           pear           pineapple      pineapple          True
1           pear           pineapple      pineapple          True
2           nine           September          eight         False
3          blind  caecum (blind gut)    single-eyed         False
4         shield                coin       defender         False"
Hani,0.4,0.4,0.45340773809523804,5,"  source_concept   target_concept             predicted_top1  correct_top1
0      fireplace             fire                       fire          True
1           snow       hoar-frost                        ice         False
2          paper    letter (text)              letter (text)          True
3        to move           animal  to move, change residence         False
4        to read  to learn, study                   to write         False"
Nung (Tai),0.4,0.4,0.4007750710956876,5,"     source_concept target_concept     predicted_top1  correct_top1
0              worm         insect             insect          True
1            father            big         stepfather         False
2              horn         corner            trumpet         False
3           to kiss        to suck  to feel affection         False
4  glass (material)         mirror             mirror          True"
Ayoreo,0.4,0.4,0.4050392027260129,5,"           source_concept target_concept      predicted_top1  correct_top1
0                  yellow          green               green          True
1                   tooth           beak       molar (tooth)         False
2  plate (a serving dish)    table, desk  lunch, midday meal         False
3          unripe (fruit)          young    conjoined fruits         False
4        glass (material)         mirror              mirror          True"
Hunzib,0.4,0.4,0.41530591854739585,5,"            source_concept  ... correct_top1
0                    mouth  ...        False
1               flat (adj)  ...        False
2  child (son or daughter)  ...         True
3                      lip  ...        False
4         glass (material)  ...         True

[5 rows x 4 columns]"
Grass Koiarj,0.4,0.4,0.40833582580390554,5,"  source_concept target_concept predicted_top1  correct_top1
0            sun            day      suntanned         False
1            sun           time      suntanned         False
2           foam           lung            mud         False
3     grandchild    grandparent    grandparent          True
4     grandchild    grandparent    grandparent          True"
Ambulas (Abelam),0.4,0.4,0.40849841270557546,5,"        source_concept target_concept predicted_top1  correct_top1
0                  sun            day      suntanned         False
1                 foam           lung            mud         False
2  to hear / to listen        to obey      to listen         False
3           grandchild    grandparent    grandparent          True
4           grandchild    grandparent    grandparent          True"
Gamilaraay,0.4,0.4,0.408199672129562,5,"            source_concept  ... correct_top1
0                      sun  ...        False
1                    belly  ...         True
2  child (son or daughter)  ...         True
3                    liver  ...        False
4            little, small  ...        False

[5 rows x 4 columns]"
Hlai (Baoting),0.4,0.4,0.40079791421975075,5,"     source_concept target_concept     predicted_top1  correct_top1
0              horn         corner            trumpet         False
1           eyebrow        eyelash            eyelash          True
2             tooth    grain, seed      molar (tooth)         False
3           to kiss        to suck  to feel affection         False
4  glass (material)         mirror             mirror          True"
Otomi,0.3888888888888889,0.4444444444444444,0.42267411314643916,18,"             source_concept  ... correct_top1
0                  bathroom  ...         True
1                      body  ...        False
2                    orphan  ...        False
3                      worm  ...         True
4                      iron  ...        False
5                     belly  ...         True
6                    stupid  ...         True
7                    stupid  ...         True
8          glass (material)  ...        False
9   child (son or daughter)  ...         True
10                     fire  ...        False
11               light (n.)  ...        False
12               light (n.)  ...        False
13               to squeeze  ...         True
14                   animal  ...        False
15      to hear / to listen  ...        False
16                     moon  ...        False
17                 to throw  ...        False

[18 rows x 4 columns]"
Karata,0.38461538461538464,0.38461538461538464,0.4155744096138387,13,"             source_concept  ... correct_top1
0                       eye  ...        False
1                      worm  ...         True
2                       rye  ...         True
3                    eyelid  ...        False
4                   stomach  ...         True
5                     liver  ...        False
6                      knot  ...        False
7   child (son or daughter)  ...         True
8                 nest (n.)  ...        False
9               dark (adj.)  ...        False
10         glass (material)  ...         True
11                  to read  ...        False
12                  to read  ...        False

[13 rows x 4 columns]"
Kali'na (Carib),0.375,0.625,0.4387707592154217,8,"     source_concept target_concept      predicted_top1  correct_top1
0          bathroom         toilet              toilet          True
1             white         silver    white (politics)         False
2          hand/arm           five                hand         False
3        man (male)  male (animal)       human, person         False
4              iron          metal  &lt;cold steel&gt;         False
5             paper  letter (text)       letter (text)          True
6  quiet (vs. loud)           calm      to become mute         False
7             smoke  steam, vapour       steam, vapour          True"
Shipibo-Conibo,0.36363636363636365,0.36363636363636365,0.3665183148346165,11,"             source_concept  ... correct_top1
0                to do, act  ...        False
1                     tooth  ...        False
2                   stomach  ...         True
3                   eyebrow  ...         True
4                 difficult  ...        False
5   child (son or daughter)  ...         True
6       to hear / to listen  ...        False
7                 to go out  ...        False
8                to do, act  ...        False
9                 yesterday  ...         True
10                    heart  ...        False

[11 rows x 4 columns]"
Northern Sami,0.3333333333333333,0.5,0.3780228288633461,6,"     source_concept target_concept predicted_top1  correct_top1
0  glass (material)         window         mirror         False
1          new year        January        January          True
2               sun            day      suntanned         False
3            summer           June         August         False
4             other  second (num.)  second (num.)          True
5               hay           July         tonsil         False"
Dari,0.3333333333333333,0.3333333333333333,0.3821349161061709,6,"  source_concept                target_concept  predicted_top1  correct_top1
0            son                         child           child          True
1         sister  nurse (junior medical staff)  younger sister         False
2            boy                         child           child          True
3        to sing                       to read        to speak         False
4           wing                           fin       parachute         False
5        to read               to learn, study        to write         False"
Karok,0.3333333333333333,0.3333333333333333,0.3382281089092545,6,"     source_concept target_concept      predicted_top1  correct_top1
0  glass (material)         window              mirror         False
1            yellow          green               green          True
2               sun           moon           suntanned         False
3              iron          knife  &lt;cold steel&gt;         False
4  glass (material)         mirror              mirror          True
5             heart      breathing    arterial (blood)         False"
Livonian,0.3333333333333333,0.3333333333333333,0.34365199388692325,9,"                       source_concept  ... correct_top1
0                            new year  ...         True
1                                rain  ...        False
2                 Michael (archangel)  ...        False
3                              autumn  ...         True
4                                cold  ...        False
5                              August  ...        False
6                     spring (season)  ...        False
7                                 hay  ...        False
8  summer solstice, St John&#39;s Day  ...         True

[9 rows x 4 columns]"
Tai Lue,0.3333333333333333,0.3333333333333333,0.3506234082738555,6,"      source_concept      target_concept      predicted_top1  correct_top1
0               iron  nail (metal spike)  &lt;cold steel&gt;         False
1                sun                 day           suntanned         False
2            eyebrow             eyelash             eyelash          True
3               tail               comet          humpbacked         False
4         to squeeze             to milk             to milk          True
5  bowels, intestine             sausage            pancreas         False"
Cherokee,0.3333333333333333,0.3333333333333333,0.35867334400153567,6,"  source_concept target_concept       predicted_top1  correct_top1
0            sun            day            suntanned         False
1          sugar  sweets, candy        sweets, candy          True
2  little, small          child  unimportant, slight         False
3          grass            hay         to mow grass         False
4          peach           plum                 plum          True
5         mirror         window     mirror (website)         False"
Chukchee,0.3157894736842105,0.3684210526315789,0.3320739347743322,19,"              source_concept  ... correct_top1
0                     strong  ...        False
1                   carriage  ...         True
2                      beard  ...         True
3                        sad  ...        False
4                     cradle  ...        False
5                       neck  ...        False
6                       weak  ...        False
7                     to die  ...        False
8                       cold  ...        False
9           to grow (plants)  ...         True
10        skin (of a person)  ...        False
11                      head  ...        False
12  to trust / to believe in  ...         True
13       thin (of an object)  ...        False
14             to hang (tr.)  ...        False
15                      nose  ...        False
16         to live, be alive  ...         True
17                      worm  ...        False
18                     white  ...         True

[19 rows x 4 columns]"
Kumyk,0.3076923076923077,0.3076923076923077,0.3308268170445849,13,"         source_concept      target_concept     predicted_top1  correct_top1
0                 bread                food               food          True
1                 voice               sound              sound          True
2               evening           yesterday           midnight         False
3     root (of a plant)        blood vessel  root (arithmetic)         False
4                   sun                 day          suntanned         False
5                eyelid             eyelash            eyebrow         False
6      to smear, anoint            to bribe          mind (n.)         False
7                middle       middle finger               half         False
8      to grow (plants)       plant (biol.)      plant (biol.)          True
9   to hear / to listen             to obey          to listen         False
10                blind  caecum (blind gut)        single-eyed         False
11     glass (material)              mirror             mirror          True
12              to read     to learn, study           to write         False"
Skolt Sami,0.3,0.5,0.3803576588835087,10,"             source_concept  ... correct_top1
0                  new year  ...         True
1                       sun  ...        False
2                    summer  ...        False
3               polar night  ...        False
4                to be born  ...        False
5                    autumn  ...         True
6                     other  ...         True
7  to shed hair or feathers  ...        False
8                       hay  ...        False
9                 Christmas  ...        False

[10 rows x 4 columns]"
Hawaiian,0.2916666666666667,0.375,0.33778818948154976,24,"                    source_concept  ... correct_top1
0          child (son or daughter)  ...        False
1                        lightning  ...        False
2                              son  ...         True
3                             iron  ...        False
4                              sun  ...        False
5                            liver  ...        False
6                              red  ...        False
7                              boy  ...         True
8                           eyelid  ...        False
9                           eyelid  ...        False
10                        to plant  ...        False
11                     grain, seed  ...        False
12                        tin (n.)  ...         True
13                to grow (plants)  ...         True
14         child (son or daughter)  ...         True
15                            iron  ...        False
16                      to squeeze  ...         True
17                   female breast  ...        False
18             to hear / to listen  ...        False
19                 to be surprised  ...        False
20  sweet potato (Ipomoea batatas)  ...         True
21                quiet (vs. loud)  ...        False
22                            moon  ...        False
23                           fruit  ...        False

[24 rows x 4 columns]"
Q'eqchi',0.2857142857142857,0.42857142857142855,0.3517911123331457,14,"                    source_concept  ... correct_top1
0                           orphan  ...        False
1                             wind  ...        False
2                            tooth  ...        False
3                         to plant  ...        False
4                            white  ...        False
5                          to kiss  ...        False
6                       to squeeze  ...         True
7                            paper  ...         True
8                   unripe (fruit)  ...        False
9              to hear / to listen  ...        False
10  sweet potato (Ipomoea batatas)  ...         True
11                          mirror  ...        False
12                glass (material)  ...         True
13                           tooth  ...        False

[14 rows x 4 columns]"
Ginukh,0.2857142857142857,0.42857142857142855,0.3407127565390286,7,"     source_concept target_concept predicted_top1  correct_top1
0        flat (adj)       straight      flat cake         False
1           eyebrow        eyelash        eyelash          True
2              nose        nostril         throat         False
3             arrow         bullet           beam         False
4  glass (material)         mirror         mirror          True
5         nest (n.)     spider web   brood, hatch         False
6        many, much           very       thousand         False"
Waorani,0.2857142857142857,0.2857142857142857,0.2898053327074971,7,"            source_concept  ... correct_top1
0      to hear / to listen  ...        False
1                   yellow  ...         True
2                    tooth  ...        False
3  child (son or daughter)  ...         True
4           unripe (fruit)  ...        False
5               to breathe  ...        False
6                mist, fog  ...        False

[7 rows x 4 columns]"
Punjabi,0.2857142857142857,0.2857142857142857,0.32490815247598226,7,"            source_concept  ... correct_top1
0                      sun  ...        False
1                    liver  ...        False
2                   eyelid  ...        False
3  child (son or daughter)  ...         True
4                    liver  ...        False
5                     gold  ...         True
6                  to read  ...        False

[7 rows x 4 columns]"
Even,0.28,0.36,0.3018564173156827,25,"         source_concept  ... correct_top1
0     &lt;foreigner&gt;  ...        False
1                  glue  ...        False
2     trunk (of a tree)  ...        False
3                friend  ...        False
4            to go away  ...        False
5                larynx  ...        False
6                 beard  ...         True
7                  lost  ...        False
8                insane  ...        False
9                 child  ...        False
10               middle  ...         True
11                sheep  ...         True
12  old man/grandfather  ...        False
13               friend  ...        False
14             foot/leg  ...         True
15                arrow  ...        False
16                 tomb  ...         True
17                 tomb  ...         True
18         fire striker  ...         True
19  to hear / to listen  ...        False
20      to burn (intr.)  ...        False
21          hard, solid  ...        False
22        lead, plumbum  ...        False
23                berry  ...        False
24  to hear / to listen  ...        False

[25 rows x 4 columns]"
White Hmong (Hmong Daw),0.26666666666666666,0.3333333333333333,0.296683717182501,15,"             source_concept  ... correct_top1
0        nail (metal spike)  ...        False
1                       sun  ...        False
2                    father  ...        False
3                   eyebrow  ...         True
4               grain, seed  ...        False
5                man (male)  ...        False
6                      nose  ...        False
7                    silver  ...        False
8   child (son or daughter)  ...         True
9                     tuber  ...        False
10                   stable  ...        False
11                    paper  ...         True
12                   mirror  ...        False
13                     moon  ...        False
14         glass (material)  ...         True

[15 rows x 4 columns]"
Gondi,0.25,0.5,0.4055324509048772,8,"                 source_concept  ... correct_top1
0                        mother  ...        False
1             to see/to look at  ...        False
2  uncle (father&#39;s brother)  ...        False
3  uncle (father&#39;s brother)  ...        False
4                        mother  ...        False
5                        mother  ...        False
6    aunt (mother&#39;s sister)  ...         True
7    aunt (mother&#39;s sister)  ...         True

[8 rows x 4 columns]"
Manda,0.25,0.375,0.32381727664155,8,"               source_concept  ... correct_top1
0                         boy  ...        False
1                 grandfather  ...        False
2                      mother  ...        False
3                       woman  ...        False
4                     husband  ...         True
5                   old woman  ...        False
6                     old man  ...        False
7  aunt (mother&#39;s sister)  ...         True

[8 rows x 4 columns]"
Khinalug,0.25,0.375,0.31539843665275263,8,"     source_concept   target_concept predicted_top1  correct_top1
0         nest (n.)           basket   brood, hatch         False
1             early          shortly    immediately         False
2         nest (n.)          beehive   brood, hatch         False
3               dew             rain           rain          True
4             mouth    opening, hole  mother tongue         False
5  glass (material)           mirror         mirror          True
6        many, much             very       thousand         False
7           to read  to learn, study       to write         False"
Rutul,0.25,0.25,0.2625999758537104,8,"        source_concept           target_concept  predicted_top1  correct_top1
0         blood vessel                   tendon  venous (blood)         False
1                 worm                   insect          insect          True
2    to see/to look at  to care for, look after  to look inside         False
3               eyelid                  eyelash         eyebrow         False
4              stomach                  abdomen         abdomen          True
5  to hear / to listen                  to obey       to listen         False
6          spot, stain                 disgrace         ceiling         False
7            mist, fog                    cloud     &lt;hat&gt;         False"
Nepali,0.25,0.25,0.2513118467902957,8,"            source_concept  ... correct_top1
0               to respect  ...         True
1           to fall asleep  ...        False
2  child (son or daughter)  ...         True
3       turmeric (Curcuma)  ...        False
4      to hear / to listen  ...        False
5      to hear / to listen  ...        False
6      to hear / to listen  ...        False
7                 to throw  ...        False

[8 rows x 4 columns]"
Assamese,0.25,0.25,0.27402168890946405,8,"            source_concept  ... correct_top1
0                      son  ...         True
1                      boy  ...         True
2                    liver  ...        False
3                   middle  ...        False
4  &lt;foreign country&gt;  ...        False
5                    liver  ...        False
6                jackfruit  ...        False
7                  to read  ...        False

[8 rows x 4 columns]"
Colorado (Tsafiki),0.25,0.25,0.25785653160603506,8,"            source_concept  ... correct_top1
0                mist, fog  ...        False
1                nest (n.)  ...        False
2                    ready  ...        False
3                  eyebrow  ...         True
4  child (son or daughter)  ...         True
5      to hear / to listen  ...        False
6                mist, fog  ...        False
7                mist, fog  ...        False

[8 rows x 4 columns]"
Mairasi,0.25,0.25,0.25056559568785575,8,"            source_concept  ... correct_top1
0                      sun  ...        False
1                  stomach  ...        False
2                     iron  ...        False
3               to do, act  ...        False
4  child (son or daughter)  ...         True
5                    liver  ...        False
6                    liver  ...        False
7               grandchild  ...         True

[8 rows x 4 columns]"
Middle English,0.23529411764705882,0.35294117647058826,0.3059288230766611,17,"             source_concept  ... correct_top1
0          pig (Sus scrofa)  ...        False
1                    curved  ...        False
2                     horse  ...        False
3                    mallow  ...         True
4         to make scratches  ...        False
5                     cloud  ...        False
6                   stomach  ...        False
7                  to plant  ...        False
8   child (son or daughter)  ...         True
9   child (son or daughter)  ...         True
10             cone (fruit)  ...        False
11                      bed  ...        False
12            genuine, true  ...        False
13              metal spike  ...        False
14                    white  ...        False
15                   mallow  ...        False
16                    child  ...         True

[17 rows x 4 columns]"
Afrikaans,0.23076923076923078,0.3076923076923077,0.27758012485080374,13,"         source_concept  ... correct_top1
0      pig (Sus scrofa)  ...        False
1     root (of a plant)  ...         True
2         lead, plumbum  ...        False
3            to do, act  ...        False
4                   cow  ...        False
5        badger (Meles)  ...         True
6               stomach  ...         True
7                 house  ...        False
8   to calculate, count  ...        False
9            cross (n.)  ...        False
10                mouse  ...        False
11             to sleep  ...        False
12                  sun  ...        False

[13 rows x 4 columns]"
Pengo,0.2222222222222222,0.5555555555555556,0.3519821105786746,9,"               source_concept  ... correct_top1
0                         boy  ...        False
1                 grandfather  ...        False
2                      father  ...        False
3                   old woman  ...        False
4                     old man  ...        False
5                       woman  ...         True
6                        girl  ...        False
7  aunt (father&#39;s sister)  ...        False
8  aunt (mother&#39;s sister)  ...         True

[9 rows x 4 columns]"
Kaingang,0.2222222222222222,0.4444444444444444,0.30733015459991697,9,"    source_concept  target_concept                predicted_top1  correct_top1
0        fireplace            fire                          fire          True
1       many, much       difficult                      thousand         False
2              sun             day                     suntanned         False
3            tooth            beak                 molar (tooth)         False
4          stomach         abdomen                       abdomen          True
5         to plant   plant (biol.)                  to mow grass         False
6            heart            lung              arterial (blood)         False
7           insect  mosquito, gnat  grasshopper (Tettigonioidea)         False
8  to be surprised    to be afraid                          rare         False"
Kichwa,0.2222222222222222,0.3333333333333333,0.2713318236713732,9,"        source_concept  ... correct_top1
0                 iron  ...        False
1                 word  ...        False
2                  lip  ...        False
3               father  ...        False
4              eyebrow  ...         True
5           light (n.)  ...        False
6  to hear / to listen  ...        False
7                smoke  ...         True
8               father  ...        False

[9 rows x 4 columns]"
Tongan,0.2222222222222222,0.3333333333333333,0.27447381353272987,9,"        source_concept  ... correct_top1
0            lightning  ...        False
1               orphan  ...        False
2               stupid  ...         True
3                 bone  ...        False
4                 iron  ...        False
5           to squeeze  ...         True
6        female breast  ...        False
7       unripe (fruit)  ...        False
8  to hear / to listen  ...        False

[9 rows x 4 columns]"
Bezhta,0.21428571428571427,0.35714285714285715,0.28141735350476754,14,"             source_concept  ... correct_top1
0         to see/to look at  ...        False
1                    strong  ...        False
2                       ear  ...        False
3                man (male)  ...        False
4                man (male)  ...        False
5                    silver  ...        False
6   child (son or daughter)  ...         True
7                  firewood  ...         True
8       to hear / to listen  ...        False
9           to grasp, seize  ...        False
10         glass (material)  ...         True
11                  to find  ...        False
12                  to read  ...        False
13             wood, timber  ...        False

[14 rows x 4 columns]"
Tzotzil,0.21428571428571427,0.2857142857142857,0.24527675352476258,14,"                    source_concept  ... correct_top1
0                to see/to look at  ...        False
1                          to give  ...        False
2                             deaf  ...        False
3                       light (n.)  ...        False
4                       to squeeze  ...         True
5                            paper  ...         True
6                   unripe (fruit)  ...        False
7                           animal  ...        False
8              to hear / to listen  ...        False
9   sweet potato (Ipomoea batatas)  ...         True
10                quiet (vs. loud)  ...        False
11                            moon  ...        False
12                           tooth  ...        False
13                         to fear  ...        False

[14 rows x 4 columns]"
Cantonese Chinese,0.21052631578947367,0.3157894736842105,0.24826803001255712,19,"          source_concept  ... correct_top1
0              butterfly  ...         True
1                diamond  ...         True
2                 twelve  ...        False
3                   pear  ...         True
4                  heart  ...        False
5                 silver  ...        False
6           bear (Ursus)  ...        False
7           to smell bad  ...        False
8                  sheep  ...         True
9                   nine  ...        False
10                 seven  ...        False
11     bowels, intestine  ...        False
12                 sixth  ...        False
13                 blind  ...        False
14             jackfruit  ...        False
15          bear (Ursus)  ...        False
16               hundred  ...        False
17  square (geometrical)  ...        False
18                shield  ...        False

[19 rows x 4 columns]"
Yaminahua,0.2,0.4,0.3007102020608816,5,"            source_concept  ... correct_top1
0                     body  ...        False
1                  stomach  ...        False
2  child (son or daughter)  ...         True
3      to hear / to listen  ...        False
4                to go out  ...        False

[5 rows x 4 columns]"
Tindi,0.2,0.4,0.25062951460069155,5,"  source_concept target_concept   predicted_top1  correct_top1
0         yellow          green            green          True
1          liver          brown         pancreas         False
2     man (male)  male (animal)    human, person         False
3          mouth           beak    mother tongue         False
4       to throw         to sow  to play (intr.)         False"
Godoberi,0.2,0.4,0.24368578217592743,5,"     source_concept target_concept  predicted_top1  correct_top1
0     to hide (tr.)       to steal  secret; covert         False
1             liver          brown        pancreas         False
2        man (male)  male (animal)   human, person         False
3             sweat       forehead      to warm up         False
4  glass (material)         mirror          mirror          True"
Paiwan,0.2,0.4,0.25068153485799166,5,"            source_concept  ... correct_top1
0  child (son or daughter)  ...        False
1                     iron  ...        False
2      to calculate, count  ...        False
3                     moon  ...        False
4                 to steal  ...         True

[5 rows x 4 columns]"
Fula,0.2,0.28,0.241308089555578,25,"                       source_concept  ... correct_top1
0                              to put  ...        False
1                                 boy  ...        False
2                         long (size)  ...        False
3                   to live, be alive  ...        False
4                                 air  ...         True
5   water-melon (Cucurbita citrullus)  ...         True
6                                weak  ...        False
7                    ugly, unpleasant  ...         True
8                            to speak  ...        False
9                    to grow (plants)  ...        False
10                             silver  ...        False
11                           hand/arm  ...        False
12                         to pass by  ...         True
13                           to trade  ...        False
14                           pancreas  ...        False
15                             to fly  ...        False
16                            to feed  ...        False
17                   comb (of a bird)  ...        False
18                        long (size)  ...         True
19                           hand/arm  ...        False
20                               leaf  ...        False
21                 tongue (body part)  ...        False
22                to calculate, count  ...        False
23                  &lt;foreigner&gt;  ...        False
24                              black  ...        False

[25 rows x 4 columns]"
Lower Sorbian,0.2,0.25,0.21864578790537753,20,"         source_concept  ... correct_top1
0                winter  ...        False
1     to live, be alive  ...        False
2                sister  ...        False
3     light (of weight)  ...        False
4                  year  ...         True
5                   sun  ...        False
6                  rain  ...         True
7                 horse  ...        False
8                 house  ...        False
9      to grow (plants)  ...         True
10               mother  ...        False
11               to dig  ...        False
12                other  ...         True
13         sphere; ball  ...        False
14                woman  ...        False
15  to hear / to listen  ...        False
16              rooster  ...        False
17                 moon  ...        False
18              to chew  ...        False
19      queen, princess  ...        False

[20 rows x 4 columns]"
Kukatja,0.2,0.2,0.2042601331192852,5,"        source_concept      target_concept predicted_top1  correct_top1
0  to hear / to listen            to think      to listen         False
1           man (male)       human, person  human, person          True
2  to hear / to listen             to obey      to listen         False
3       to taste (tr.)  to try, to attempt     taste (n.)         False
4  to hear / to listen       to understand      to listen         False"
Nez Perce (Nimipuutímt),0.2,0.2,0.22284602677732748,5,"        source_concept target_concept predicted_top1  correct_top1
0               silver           gold          metal         False
1                 foam           lung            mud         False
2  to hear / to listen        to obey      to listen         False
3            yesterday       tomorrow       tomorrow          True
4                metal          money         copper         False"
Francisco León Zoque,0.2,0.2,0.20860021480638533,5,"        source_concept        target_concept predicted_top1  correct_top1
0           to respect               to obey        to obey          True
1              stomach                 heart        abdomen         False
2                  sun                   day      suntanned         False
3  to hear / to listen               to obey      to listen         False
4              stomach  location of emotions        abdomen         False"
