language,top1,top5,mrr,N,shifts_df
Karata,0.3076923076923077,0.6153846153846154,0.42326671730614635,13,"             source_concept  ... correct_top1
0                       eye  ...        False
1                      worm  ...         True
2                       rye  ...        False
3                    eyelid  ...         True
4                   stomach  ...         True
5                     liver  ...        False
6                      knot  ...        False
7   child (son or daughter)  ...        False
8                 nest (n.)  ...        False
9               dark (adj.)  ...        False
10         glass (material)  ...         True
11                  to read  ...        False
12                  to read  ...        False

[13 rows x 4 columns]"
Afrikaans,0.3076923076923077,0.38461538461538464,0.32585777312845204,13,"         source_concept  ... correct_top1
0      pig (Sus scrofa)  ...        False
1     root (of a plant)  ...         True
2         lead, plumbum  ...        False
3            to do, act  ...        False
4                   cow  ...        False
5        badger (Meles)  ...         True
6               stomach  ...         True
7                 house  ...        False
8   to calculate, count  ...        False
9            cross (n.)  ...        False
10                mouse  ...         True
11             to sleep  ...        False
12                  sun  ...        False

[13 rows x 4 columns]"
Uzbek,0.3,0.4,0.3306982720809713,30,"             source_concept  ... correct_top1
0   to turn, rotate (intr.)  ...        False
1                       sun  ...         True
2                     blunt  ...        False
3                     sugar  ...        False
4                 to suffer  ...        False
5    to braid, plait, weave  ...        False
6                man (male)  ...        False
7                       eye  ...        False
8           to burn (intr.)  ...        False
9                    middle  ...         True
10                   middle  ...         True
11                   middle  ...         True
12                   middle  ...         True
13                   middle  ...         True
14         to grow (plants)  ...         True
15             to smell bad  ...        False
16                    liver  ...        False
17                    woman  ...         True
18                  to bark  ...        False
19                     head  ...        False
20                    white  ...        False
21                 nameless  ...        False
22                 nameless  ...        False
23                 nameless  ...        False
24                     cold  ...        False
25                     frog  ...         True
26               bile, gall  ...        False
27                   willow  ...        False
28                  to read  ...        False
29    jewel, precious stone  ...        False

[30 rows x 4 columns]"
Seri,0.3,0.3,0.3198990299733786,10,"  source_concept target_concept predicted_top1  correct_top1
0           tree  plant (biol.)         forest         False
1            sun            day            day          True
2            sun            day            day          True
3  country, land          world     motherland         False
4    earth, soil  country, land  country, land          True
5          earth           year            day         False
6           iron          knife          metal         False
7           moon          month          comet         False
8         Sunday           week       tomorrow         False
9            sun   watch, clock            day         False"
Punjabi,0.2857142857142857,0.7142857142857143,0.4763367239045536,7,"            source_concept        target_concept predicted_top1  correct_top1
0                      sun                   day            day          True
1                    liver         dear, darling        abdomen         False
2                   eyelid               eyelash        eyelash          True
3  child (son or daughter)  child (young person)          child         False
4                    liver  location of emotions        abdomen         False
5                     gold              platinum          metal         False
6                  to read       to learn, study        to obey         False"
Q'eqchi',0.2857142857142857,0.5714285714285714,0.3965190034896082,14,"                    source_concept  ... correct_top1
0                           orphan  ...        False
1                             wind  ...        False
2                            tooth  ...        False
3                         to plant  ...         True
4                            white  ...        False
5                          to kiss  ...        False
6                       to squeeze  ...        False
7                            paper  ...        False
8                   unripe (fruit)  ...        False
9              to hear / to listen  ...        False
10  sweet potato (Ipomoea batatas)  ...         True
11                          mirror  ...        False
12                glass (material)  ...         True
13                           tooth  ...         True

[14 rows x 4 columns]"
Ginukh,0.2857142857142857,0.42857142857142855,0.3577121381825587,7,"     source_concept target_concept predicted_top1  correct_top1
0        flat (adj)       straight  opening, hole         False
1           eyebrow        eyelash        eyelash          True
2              nose        nostril          mouth         False
3             arrow         bullet          brass         False
4  glass (material)         mirror         mirror          True
5         nest (n.)     spider web            egg         False
6        many, much           very        several         False"
Warlpiri,0.2857142857142857,0.2857142857142857,0.2871899152333698,7,"        source_concept       target_concept        predicted_top1  correct_top1
0  to hear / to listen          to remember              to speak         False
1  to hear / to listen              to know              to speak         False
2              to feel  to hear / to listen  location of emotions         False
3                  sun                  day                   day          True
4                  sun                  day                   day          True
5    to see/to look at              to know  to watch, look after         False
6  to hear / to listen        to understand              to speak         False"
Khanty,0.2857142857142857,0.2857142857142857,0.2877209540192539,7,"       source_concept target_concept        predicted_top1  correct_top1
0              forest        to hunt   branch (of a river)         False
1                 sky            god                  wind         False
2                 sun            day                   day          True
3  squirrel (Sciurus)  &lt;money&gt;          hippopotamus         False
4   to see/to look at        to meet  to watch, look after         False
5                iron          metal                 metal          True
6                 sky        weather                  wind         False"
Rapanui,0.2727272727272727,0.36363636363636365,0.32081871175666343,11,"             source_concept  ... correct_top1
0                   abdomen  ...        False
1                       sun  ...         True
2                    eyelid  ...         True
3                      bone  ...        False
4                      fish  ...        False
5   child (son or daughter)  ...        False
6                      iron  ...         True
7             female breast  ...        False
8                    animal  ...        False
9       to hear / to listen  ...        False
10      to calculate, count  ...        False

[11 rows x 4 columns]"
Gondi,0.25,0.5,0.3967526890001153,8,"                 source_concept  ... correct_top1
0                        mother  ...        False
1             to see/to look at  ...        False
2  uncle (father&#39;s brother)  ...         True
3  uncle (father&#39;s brother)  ...         True
4                        mother  ...        False
5                        mother  ...        False
6    aunt (mother&#39;s sister)  ...        False
7    aunt (mother&#39;s sister)  ...        False

[8 rows x 4 columns]"
Malagasy,0.25,0.375,0.3150022483663352,16,"              source_concept  ... correct_top1
0          to see/to look at  ...        False
1                  lightning  ...        False
2                       name  ...        False
3                        sun  ...         True
4          to see/to look at  ...        False
5                       salt  ...        False
6                 to prop up  ...        False
7    child (son or daughter)  ...        False
8   to follow, go after smb.  ...        False
9           to grow (plants)  ...         True
10                      iron  ...         True
11                     paper  ...        False
12          quiet (vs. loud)  ...        False
13                      moon  ...        False
14            to taste (tr.)  ...        False
15                      door  ...         True

[16 rows x 4 columns]"
Manda,0.25,0.375,0.35253467275118755,8,"               source_concept  ... correct_top1
0                         boy  ...        False
1                 grandfather  ...         True
2                      mother  ...        False
3                       woman  ...        False
4                     husband  ...         True
5                   old woman  ...        False
6                     old man  ...        False
7  aunt (mother&#39;s sister)  ...        False

[8 rows x 4 columns]"
Buginese,0.25,0.375,0.30274044052071536,8,"          source_concept target_concept  predicted_top1  correct_top1
0                    sun            day             day          True
1                 father  father-in-law           child         False
2  stone (piece of rock)    grain, seed            gold         False
3                   iron          spear           metal         False
4             man (male)  male (animal)         husband         False
5                   iron          metal           metal          True
6               to throw         to sow  to strike, hit         False
7          lead, plumbum       tin (n.)            gold         False"
Cham,0.25,0.3125,0.3062568478097939,16,"        source_concept          target_concept   predicted_top1  correct_top1
0   letter (character)           letter (text)    letter (text)          True
1              to read                to scold          to obey         False
2               to sit        to inhabit, live          to rest         False
3               to sit         to remain, stay          to rest         False
4     to grow (plants)  to rise (of Moon, Sun)    plant (biol.)         False
5                 body                    self              day         False
6         lord, master                     god              god          True
7                 iron                   metal            metal          True
8           man (male)                 husband          husband          True
9            to go out              to be born         to leave         False
10                moon                   month            comet         False
11               fruit                     egg        pineapple         False
12          to go down   to set (of Moon, Sun)   to defeat, win         False
13        to ask (for)                 to pray          to obey         False
14              to sit          to be situated          to rest         False
15             to want                 to love  to have opinion         False"
Kanuri,0.2222222222222222,0.6666666666666666,0.3849005241072545,9,"            source_concept  ... correct_top1
0                expensive  ...        False
1                     worm  ...         True
2                      sun  ...         True
3                     wind  ...        False
4               man (male)  ...        False
5                 tin (n.)  ...        False
6  child (son or daughter)  ...        False
7      to hear / to listen  ...        False
8          to hug, embrace  ...        False

[9 rows x 4 columns]"
Cofán,0.2222222222222222,0.4444444444444444,0.3603634786811991,9,"            source_concept  ... correct_top1
0               mute, dumb  ...        False
1                     food  ...        False
2                      lip  ...        False
3                   stupid  ...        False
4                  stomach  ...         True
5  child (son or daughter)  ...        False
6      to hear / to listen  ...        False
7         glass (material)  ...         True
8                  abdomen  ...        False

[9 rows x 4 columns]"
Pengo,0.2222222222222222,0.4444444444444444,0.3486243572209212,9,"               source_concept  ... correct_top1
0                         boy  ...        False
1                 grandfather  ...         True
2                      father  ...        False
3                   old woman  ...        False
4                     old man  ...        False
5                       woman  ...         True
6                        girl  ...        False
7  aunt (father&#39;s sister)  ...        False
8  aunt (mother&#39;s sister)  ...        False

[9 rows x 4 columns]"
Marquesan,0.2222222222222222,0.3333333333333333,0.2587149449477585,9,"  source_concept target_concept              predicted_top1  correct_top1
0      fireplace           fire                        fire          True
1         copper           zinc                       metal         False
2            sun            day                         day          True
3           body          waist                         day         False
4           tail          comet                     buttock         False
5  female breast          udder  term of address to a woman         False
6          tooth           horn                       mouth         False
7           moon          month                       comet         False
8         copper          brass                       metal         False"
Marathi,0.2222222222222222,0.2222222222222222,0.23581594727905328,9,"            source_concept  ... correct_top1
0                   insect  ...        False
1                      sun  ...         True
2                   cowrie  ...        False
3                   middle  ...         True
4                    liver  ...        False
5      to hear / to listen  ...        False
6                     bull  ...        False
7  &lt;foreign country&gt;  ...        False
8      pericarp of a lotus  ...        False

[9 rows x 4 columns]"
Old Turkic,0.2222222222222222,0.2222222222222222,0.22689304555796752,9,"        source_concept  ... correct_top1
0         ten thousand  ...         True
1    to see/to look at  ...        False
2                  sun  ...         True
3                white  ...        False
4   tongue (body part)  ...        False
5  old man/grandfather  ...        False
6      to be separated  ...        False
7  pelican (Pelecanus)  ...        False
8              to dive  ...        False

[9 rows x 4 columns]"
Crimean Tatar,0.2222222222222222,0.2222222222222222,0.24116044630338354,9,"  source_concept target_concept            predicted_top1  correct_top1
0         sickle   harvest time                       bad         False
1            sun            day                       day          True
2         sickle           July                       bad         False
3  little, small  little finger            unit of length         False
4         middle  middle finger             middle finger          True
5         market         Sunday                     money         False
6           belt        rainbow              edge, border         False
7          white           swan                     green         False
8       nameless    ring finger  term of address to a man         False"
Avar,0.21739130434782608,0.43478260869565216,0.288305796442215,23,"         source_concept    target_concept        predicted_top1  correct_top1
0                   boy               son                 child         False
1               to love               any  location of emotions         False
2                eyelid           eyelash               eyelash          True
3                eyelid           eyelash               eyelash          True
4              thousand        many, much            many, much          True
5        to strike, hit       to multiply               to kill         False
6            to be born         to happen  afterbirth, placenta         False
7              firewood      wood, timber                  fire         False
8   to hear / to listen           to obey              to speak         False
9   to hear / to listen           to obey              to speak         False
10  to hear / to listen           to obey              to speak         False
11                mouth     opening, hole    mouth (of a river)         False
12            nest (n.)               bed                   egg         False
13      to grasp, seize    to get, obtain                 mouth         False
14                mouth      edge, border    mouth (of a river)         False
15     glass (material)            mirror                mirror          True
16                 gold          platinum                 metal         False
17                  eye             wheel               eyelash         False
18                 girl          daughter                 child         False
19                 frog  tortoise, turtle      tortoise, turtle          True
20              to read   to learn, study               to obey         False
21                mouth            speech    mouth (of a river)         False
22                 nose          mountain                 mouth         False"
Dargwa (literary),0.2,0.8,0.38341597796143245,5,"  source_concept   target_concept  predicted_top1  correct_top1
0            sun              day             day          True
1        to sing          to read        to speak         False
2  little, small            child  unit of length         False
3        to read  to learn, study         to obey         False
4        to read  to learn, study         to obey         False"
Oroqen,0.2,0.6,0.3668340888401515,5,"     source_concept target_concept       predicted_top1  correct_top1
0         expensive      difficult                money         False
1              worm         insect               insect          True
2  glass (material)         bottle               mirror         False
3        to squeeze        to milk                mouth         False
4         book (n.)  letter (text)  chapter (of a book)         False"
Hani,0.2,0.6,0.38007440476190474,5,"  source_concept   target_concept  predicted_top1  correct_top1
0      fireplace             fire            fire          True
1           snow       hoar-frost         weather         False
2          paper    letter (text)  sheet of paper         False
3        to move           animal   unit of speed         False
4        to read  to learn, study         to obey         False"
Ayoreo,0.2,0.6,0.3402772979641081,5,"           source_concept target_concept      predicted_top1  correct_top1
0                  yellow          green               month         False
1                   tooth           beak               mouth         False
2  plate (a serving dish)    table, desk                food         False
3          unripe (fruit)          young  stone (of a fruit)         False
4        glass (material)         mirror              mirror          True"
Hunzib,0.2,0.6,0.37545525564355364,5,"            source_concept  ... correct_top1
0                    mouth  ...        False
1               flat (adj)  ...        False
2  child (son or daughter)  ...        False
3                      lip  ...        False
4         glass (material)  ...         True

[5 rows x 4 columns]"
Grass Koiarj,0.2,0.6,0.2803358258039056,5,"  source_concept target_concept predicted_top1  correct_top1
0            sun            day            day          True
1            sun           time            day         False
2           foam           lung           acid         False
3     grandchild    grandparent       ancestor         False
4     grandchild    grandparent       ancestor         False"
Ambulas (Abelam),0.2,0.6,0.2804984127055755,5,"        source_concept target_concept predicted_top1  correct_top1
0                  sun            day            day          True
1                 foam           lung           acid         False
2  to hear / to listen        to obey       to speak         False
3           grandchild    grandparent       ancestor         False
4           grandchild    grandparent       ancestor         False"
Gamilaraay,0.2,0.6,0.36686633879622865,5,"            source_concept        target_concept  predicted_top1  correct_top1
0                      sun                   day             day          True
1                    belly               abdomen        pregnant         False
2  child (son or daughter)  child (young person)           child         False
3                    liver  location of emotions         abdomen         False
4            little, small                 child  unit of length         False"
Godoberi,0.2,0.6,0.2901770102461029,5,"     source_concept target_concept        predicted_top1  correct_top1
0     to hide (tr.)       to steal        to begin (tr.)         False
1             liver          brown               abdomen         False
2        man (male)  male (animal)               husband         False
3             sweat       forehead  location of emotions         False
4  glass (material)         mirror                mirror          True"
Skolt Sami,0.2,0.5,0.3715362303120801,10,"             source_concept target_concept        predicted_top1  correct_top1
0                  new year        January              December         False
1                       sun            day                   day          True
2                    summer           June                 month         False
3               polar night       November               weather         False
4                to be born      to happen  afterbirth, placenta         False
5                    autumn      September                 month         False
6                     other  second (num.)                   day         False
7  to shed hair or feathers         August             moustache         False
8                       hay           July                tonsil         False
9                 Christmas       December              December          True"
Kyrghyz,0.2,0.48,0.2898872909997728,25,"           source_concept  ... correct_top1
0                thousand  ...        False
1                     sun  ...         True
2                  butter  ...        False
3          to get, obtain  ...        False
4        puppy (of a dog)  ...        False
5                hand/arm  ...        False
6                    sour  ...        False
7                 to love  ...        False
8                   water  ...        False
9              man (male)  ...        False
10                 middle  ...         True
11                 middle  ...         True
12       to grow (plants)  ...         True
13  stone (piece of rock)  ...        False
14     squirrel (Sciurus)  ...        False
15                  arrow  ...        False
16                   moon  ...        False
17              fisherman  ...        False
18        to grasp, seize  ...        False
19               nameless  ...        False
20               nameless  ...        False
21                   frog  ...         True
22                  forty  ...        False
23                to read  ...        False
24                 father  ...        False

[25 rows x 4 columns]"
